2014-02-18T09:09:12.891Z - crit: <server> System logging to F:\repos\github\bfair\logs\bfair_20140218-1009.log
2014-02-18T09:09:13.759Z - crit: <pingresults> <start> Time: 2014-02-18 09:09:13
2014-02-18T09:09:13.287Z - crit: <session> <getSession> New Session Instance, Active App Key = 2ku5TzXl34zUU1Qz
2014-02-18T09:09:13.822Z - crit: <server> Express app started on port 3000
2014-02-18T09:09:14.322Z - crit: <betfair_auth> <interactiveLogin> sessionKey = r0wzD0gKVCzxbhwUc4xtj3aIQKX6Ed4jaU9lEEAz7/U=
2014-02-18T09:09:22.225Z - crit: <pingprices> <ping> Minimum interval changed to 100ms
2014-02-18T09:09:31.607Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:31.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:31.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:31.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:31.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:31.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:31.610Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.606Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.608Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:41.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.607Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:09:51.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.606Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.608Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.608Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.608Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.608Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.608Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:01.609Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.629Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.631Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.631Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.632Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.632Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.632Z - crit: <reporting> <calculateProfit> plrunners = undefined
2014-02-18T09:10:11.632Z - crit: <reporting> <calculateProfit> plrunners = undefined
